rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
21,LALISA,LISA,[],LALISA,9/10/2021,2021,"[""k-pop""]","[""und""]",,,,,,,youtube_views,900358198.0,views,,,900358198,176.30360791447129,2KZ3sNqPogEyMUUH6A5HFy,,KRA402100098,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""kpop"",""youtube_view_threshold_strictly_greater_than"":100000000,""matched_source_genres"":[""k-pop""],""kpop_artist_verified"":true,""verified_kpop_artist"":""LISA"",""selection"":""catalog K-pop tag plus Korean ISRC, Korean source-country metadata, or Korean artist identity""}"
22,Permission to Dance,BTS,[],Butter / Permission to Dance,7/9/2021,2021,"[""pop"",""k-pop"",""['k-pop'"",""'k-pop boy group'"",""'pop']""]","[""und""]",,,,,,,youtube_views,881072427.0,views,,,881072427,196.86984606842736,3XYRV7ZSHqIRDG87DKTtry,,QMFME2102684,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""kpop"",""youtube_view_threshold_strictly_greater_than"":100000000,""matched_source_genres"":[""pop"",""k-pop"",""k-pop boy group""],""kpop_artist_verified"":true,""verified_kpop_artist"":""BTS"",""selection"":""catalog K-pop tag plus Korean ISRC, Korean source-country metadata, or Korean artist identity""}"
23,오빤 딱 내 스타일,PSY,[],,,,"[""k-pop""]","[""und""]",,,,,,,youtube_views,853902950.0,views,,,853902950,89.31408514435836,,,,https://www.youtube.com/watch?v=wcLNteez3c4,2026-07-26,"Discovered with the official YouTube Data API and retained only when the parsed artist matches a catalog-verified K-pop artist and the upload has official-MV, official-label, or artist-channel evidence.","{""culture_category"":""kpop"",""youtube_video_id"":""wcLNteez3c4"",""youtube_channel_id"":""UCrDkAvwZum-UTjHmzDI2iIw"",""youtube_channel_title"":""officialpsy"",""youtube_original_title"":""PSY (ft. HYUNA) - 오빤 딱 내 스타일 M/V"",""youtube_discovery_query"":""\""PSY\"" official MV"",""youtube_view_threshold_strictly_greater_than"":100000000,""kpop_artist_verified"":true,""verified_kpop_artist"":""PSY"",""selection"":""official YouTube API discovery restricted to verified K-pop artists""}"
24,DOPE(쩔어),BTS,[],,,,"[""k-pop""]","[""und""]",,,,,,,youtube_views,851286849.0,views,,,851286849,89.3007592480956,,,,https://www.youtube.com/watch?v=BVwAVbKYYeM,2026-07-26,"Discovered with the official YouTube Data API and retained only when the parsed artist matches a catalog-verified K-pop artist and the upload has official-MV, official-label, or artist-channel evidence.","{""culture_category"":""kpop"",""youtube_video_id"":""BVwAVbKYYeM"",""youtube_channel_id"":""UCweOkPb1wVVH0Q0Tlj4a5Pw"",""youtube_channel_title"":""1theK (원더케이)"",""youtube_original_title"":""[MV] BTS(방탄소년단) _ DOPE(쩔어)"",""youtube_discovery_query"":""K-pop debut official MV"",""youtube_view_threshold_strictly_greater_than"":100000000,""kpop_artist_verified"":true,""verified_kpop_artist"":""BTS"",""selection"":""official YouTube API discovery restricted to verified K-pop artists""}"
25,뱅뱅뱅 (BANG BANG BANG),BIGBANG,[],,,,"[""k-pop""]","[""und""]",,,,,,,youtube_views,843322637.0,views,,,843322637,89.25993758605914,,,,https://www.youtube.com/watch?v=2ips2mM7Zqw,2026-07-26,"Discovered with the official YouTube Data API and retained only when the parsed artist matches a catalog-verified K-pop artist and the upload has official-MV, official-label, or artist-channel evidence.","{""culture_category"":""kpop"",""youtube_video_id"":""2ips2mM7Zqw"",""youtube_channel_id"":""UCzw-C7fNfs018R1FzIKnlaA"",""youtube_channel_title"":""BIGBANG"",""youtube_original_title"":""BIGBANG - 뱅뱅뱅 (BANG BANG BANG) M/V"",""youtube_discovery_query"":""K-pop boy group official MV"",""youtube_view_threshold_strictly_greater_than"":100000000,""kpop_artist_verified"":true,""verified_kpop_artist"":""BIGBANG"",""selection"":""official YouTube API discovery restricted to verified K-pop artists""}"
26,Save ME,BTS,[],,,,"[""k-pop""]","[""und""]",,,,,,,youtube_views,820331944.0,views,,,820331944,89.13989623981902,,,,https://www.youtube.com/watch?v=GZjt_sA2eso,2026-07-26,"Discovered with the official YouTube Data API and retained only when the parsed artist matches a catalog-verified K-pop artist and the upload has official-MV, official-label, or artist-channel evidence.","{""culture_category"":""kpop"",""youtube_video_id"":""GZjt_sA2eso"",""youtube_channel_id"":""UC3IZKseVpdzPSBaWxBxundA"",""youtube_channel_title"":""HYBE LABELS"",""youtube_original_title"":""BTS (방탄소년단) 'Save ME' Official MV"",""youtube_discovery_query"":""K-pop debut official MV"",""youtube_view_threshold_strictly_greater_than"":100000000,""kpop_artist_verified"":true,""verified_kpop_artist"":""BTS"",""selection"":""official YouTube API discovery restricted to verified K-pop artists""}"
27,FANCY,TWICE,[],FANCY YOU,4/22/2019,2019,"[""k-pop""]","[""und""]",,,,,,,youtube_views,816491835.0,views,,,816491835,176.26244026673143,2qQpFbqqkLOGySgNK8wBXt,,US5TA1900042,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""kpop"",""youtube_view_threshold_strictly_greater_than"":100000000,""matched_source_genres"":[""k-pop""],""kpop_artist_verified"":true,""verified_kpop_artist"":""TWICE"",""selection"":""catalog K-pop tag plus Korean ISRC, Korean source-country metadata, or Korean artist identity""}"
28,Shut Down,BLACKPINK,[],,,,"[""k-pop""]","[""und""]",,,,,,,youtube_views,815060253.0,views,,,815060253,89.11189715503711,,,,https://www.youtube.com/watch?v=POe9SOEKotk,2026-07-26,"Discovered with the official YouTube Data API and retained only when the parsed artist matches a catalog-verified K-pop artist and the upload has official-MV, official-label, or artist-channel evidence.","{""culture_category"":""kpop"",""youtube_video_id"":""POe9SOEKotk"",""youtube_channel_id"":""UCOmHUn--16B90oW2L6FRR3A"",""youtube_channel_title"":""BLACKPINK"",""youtube_original_title"":""BLACKPINK - ‘Shut Down’ M/V"",""youtube_discovery_query"":""K-pop official MV"",""youtube_view_threshold_strictly_greater_than"":100000000,""kpop_artist_verified"":true,""verified_kpop_artist"":""BLACKPINK"",""selection"":""official YouTube API discovery restricted to verified K-pop artists""}"
29,DADDY(feat. CL of 2NE1),PSY,[],,,,"[""k-pop""]","[""und""]",,,,,,,youtube_views,781680081.0,views,,,781680081,88.9302904583495,,,,https://www.youtube.com/watch?v=FrG4TEcSuRg,2026-07-26,"Discovered with the official YouTube Data API and retained only when the parsed artist matches a catalog-verified K-pop artist and the upload has official-MV, official-label, or artist-channel evidence.","{""culture_category"":""kpop"",""youtube_video_id"":""FrG4TEcSuRg"",""youtube_channel_id"":""UCrDkAvwZum-UTjHmzDI2iIw"",""youtube_channel_title"":""officialpsy"",""youtube_original_title"":""PSY - DADDY(feat. CL of 2NE1) M/V"",""youtube_discovery_query"":""\""PSY\"" official MV"",""youtube_view_threshold_strictly_greater_than"":100000000,""kpop_artist_verified"":true,""verified_kpop_artist"":""PSY"",""selection"":""official YouTube API discovery restricted to verified K-pop artists""}"
30,FIRE (불타오르네),BTS,[],,,,"[""k-pop""]","[""und""]",,,,,,,youtube_views,779188730.0,views,,,779188730,88.91642662941521,,,,https://www.youtube.com/watch?v=ALj5MKjy2BU,2026-07-26,"Discovered with the official YouTube Data API and retained only when the parsed artist matches a catalog-verified K-pop artist and the upload has official-MV, official-label, or artist-channel evidence.","{""culture_category"":""kpop"",""youtube_video_id"":""ALj5MKjy2BU"",""youtube_channel_id"":""UCweOkPb1wVVH0Q0Tlj4a5Pw"",""youtube_channel_title"":""1theK (원더케이)"",""youtube_original_title"":""[MV] BTS(방탄소년단) _ FIRE (불타오르네)"",""youtube_discovery_query"":""\""BTS\"" official MV"",""youtube_view_threshold_strictly_greater_than"":100000000,""kpop_artist_verified"":true,""verified_kpop_artist"":""BTS"",""selection"":""official YouTube API discovery restricted to verified K-pop artists""}"
