rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
21,Old MacDonald,CoComelon,[],"CoComelon Kids Hits, Vol. 1",,,"[""children""]","[""und""]",,,,,,,spotify_popularity,64.0,score_0_100,,,,22.4,5txSLkf7BeYIgTtUnVDDG8,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
22,Five Little Monkeys Jumping on the Bed,CoComelon,[],"CoComelon Kids Hits, Vol. 2",2020-01-24,2020,"[""children"",""[\""children's music\"""",""'nursery'"",""\""preschool children's music\""]""]","[""und""]",,,,,,,spotify_popularity,64.0,score_0_100,,,,22.4,6cG4v6cDjjrlqooK2ey6Od,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children"",""[\""children's music\"""",""'nursery'"",""\""preschool children's music\""]""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
23,Baby Shark,CoComelon,[],Nursery Rhymes by CoComelon,,,"[""children""]","[""und""]",,,,,,,spotify_popularity,64.0,score_0_100,,,,22.4,7zD97mcPo9fng0aJqUhFvd,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
24,Down By The Bay,Raffi,[],Animal Songs,2008-01-01,1976,"[""[\""canadian children's music\"""",""\""children's folk\"""",""\""children's music\""]"",""children""]","[""und""]",,,,,,,spotify_popularity,63.0,score_0_100,,,,22.049999999999997,7LKlqy2ZmH1paRqGgOWbvi,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""[\""canadian children's music\"""",""\""children's folk\"""",""\""children's music\""]"",""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
25,I Swear,The Minions,[],Despicable Me 2 (Original Motion Picture Soundtrack),,,"[""children""]","[""und""]",,,,,,,spotify_popularity,63.0,score_0_100,,,,22.049999999999997,4t9cpYT8AD3G2TGwSRQVDK,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
26,She'll Be Coming Round the Mountain,CoComelon,[],Nursery Rhymes by CoComelon Vol.2,,,"[""children""]","[""und""]",,,,,,,spotify_popularity,63.0,score_0_100,,,,22.049999999999997,1Z7tsmCvV0QboBo37Iykri,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
27,One Little Finger,Super Simple Songs,[],,2017-03-24,2017,"[""children""]","[""und""]",,,,,,,spotify_popularity,63.0,score_0_100,,,,22.049999999999997,4jKlouPlVZOkuRwyBpgLPN,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
28,Five Little Ducks,Super Simple Songs,[],Baby Shark & More Kids Songs,2017-03-24,2017,"[""children"",""[\""children's music\""]""]","[""und""]",,,,,,,spotify_popularity,63.0,score_0_100,,,,22.049999999999997,6T15qWkGDGlE9vTkvoT4oZ,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children"",""[\""children's music\""]""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
29,Happy Birthday Song,CoComelon,[],"CoComelon Kids Hits, Vol. 3",,,"[""children""]","[""und""]",,,,,,,spotify_popularity,62.0,score_0_100,,,,21.7,2R5iTxkCln6NLTw6l0kjWw,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
30,ABC's,Blippi,[],"Blippi Tunes, Vol. 1",,,"[""children""]","[""und""]",,,,,,,spotify_popularity,62.0,score_0_100,,,,21.7,1eSmVO3UxWPfle5XCFzzDf,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
