rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
21,Seishun Satsubatsu-ron,3 Nen E Gumi Utatan,[],,,,[],"[""und""]",,Assassination Classroom,628058,,,,anime_popularity_proxy,628058.0,anilist_users,,,,,,,,https://anilist.co/,2026-09-12,"No trustworthy song-level listen/view count found; AniList anime popularity is explicitly a proxy, not song listens.","{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""theme_order_fallback"",""anilist_id"":20755,""mal_id"":24833,""anime_popularity_rank"":21,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/ansatsu_kyoushitsu_tv""}"
22,Refrain Boy - TEKINA remix,ALL OFF,[],Refrain Boy,2016-08-31,2016,"[""j-poprock"",""japanese pop punk""]","[""und""]",,Mob Psycho 100,625952,,,,spotify_popularity,24.0,score_0_100,,,,6.0,519sBNZbuzArspk8l1Rut4,,,https://doi.org/10.5281/zenodo.11453410,2026-09-12,,"{""theme_type"":""ED"",""theme_sequence"":3,""selection_method"":""exact_title_artist"",""anilist_id"":21507,""mal_id"":32182,""anime_popularity_rank"":22,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/mob_psycho_100"",""catalog_sources"":""spotify_zenodo_0_9m|spotify_2025_0_9m_features""}"
23,STYX HELIX,MYTH & ROID,[],,2017-04-26,2017,[],"[""und""]",,Re:ZERO -Starting Life in Another World-,621483,,,,spotify_popularity,60.0,score_0_100,,,,15.0,376H9fw1l6spwIfiNSDBmJ,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""ED"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":21355,""mal_id"":31240,""anime_popularity_rank"":23,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/rezero_kara_hajimeru_isekai_seikatsu"",""catalog_sources"":""spotify_600k_historical""}"
24,Hikaru nara,Goose House,[],,,,[],"[""und""]",,Your lie in April,613141,,,,anime_popularity_proxy,613141.0,anilist_users,,,,,,,,https://anilist.co/,2026-09-12,"No trustworthy song-level listen/view count found; AniList anime popularity is explicitly a proxy, not song listens.","{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""theme_order_fallback"",""anilist_id"":20665,""mal_id"":23273,""anime_popularity_rank"":24,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/shigatsu_wa_kimi_no_uso""}"
25,Shoukei to Shikabane no Michi,Linked Horizon,[],Shinjitsu eno Shingeki,2019-07-03,2019,"[""anime"",""otacore""]","[""und""]",,Attack on Titan Season 3 Part 2,610566,,,,spotify_popularity,66.0,score_0_100,,,,16.5,7lcTpZtdTyfiIgVIpmTVut,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""exact_title_artist"",""anilist_id"":104578,""mal_id"":38524,""anime_popularity_rank"":25,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/shingeki_no_kyojin_season_3_part_2"",""catalog_sources"":""spotify_600k_historical|spotify_114k|spotify_2025_0_9m_features|spotify_zenodo_0_9m""}"
26,Sign,FLOW,[],MICROCOSM,,2010,"[""anime"",""j-pop""]","[""und""]",,Naruto: Shippuden,609573,,,,spotify_popularity,67.0,score_0_100,,,,16.75,1hi0P1Y2he1p09xnUccuAN,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":6,""selection_method"":""exact_title_artist"",""anilist_id"":1735,""mal_id"":1735,""anime_popularity_rank"":26,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/naruto_shippuuden"",""catalog_sources"":""spotify_114k|spotify_600k_historical""}"
27,Re:Re:,ASIAN KUNG-FU GENERATION,[],ソルファ,,2004,"[""anime"",""emo"",""j-pop"",""j-rock"",""punk"",""punk-rock""]","[""und""]",,ERASED,605122,,,,spotify_popularity,59.0,score_0_100,,,,14.75,28MKy2umF5roXSqmUQ9eB7,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""exact_title_artist"",""anilist_id"":21234,""mal_id"":31043,""anime_popularity_rank"":27,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/boku_dake_ga_inai_machi"",""catalog_sources"":""spotify_114k|spotify_600k_historical""}"
28,ODD FUTURE,UVERworld,[],UNSER,,2019,"[""anime"",""j-pop"",""j-rock""]","[""und""]",,My Hero Academia Season 3,600502,,,,spotify_popularity,59.0,score_0_100,,,,14.75,5tHp131qFB3T7e01x1xsO2,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":100166,""mal_id"":36456,""anime_popularity_rank"":28,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/boku_no_hero_academia_3rd_season"",""catalog_sources"":""spotify_114k|spotify_600k_historical""}"
29,Hacking to the Gate,Kanako Itou,[],,,,[],"[""und""]",,Steins;Gate,594464,,,,anime_popularity_proxy,594464.0,anilist_users,,,,,,,,https://anilist.co/,2026-09-12,"No trustworthy song-level listen/view count found; AniList anime popularity is explicitly a proxy, not song listens.","{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""theme_order_fallback"",""anilist_id"":9253,""mal_id"":9253,""anime_popularity_rank"":29,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/steinsgate""}"
30,Ah Yeah!!,Sukima Switch,[],,2014-12-03,2014,"[""anime"",""j-pop"",""j-rock""]","[""und""]",,HAIKYU!!,583078,,,,spotify_popularity,53.0,score_0_100,,,,13.25,3LXpZ28ebxPHH1aUc9167L,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":2,""selection_method"":""exact_title_artist"",""anilist_id"":20464,""mal_id"":20583,""anime_popularity_rank"":30,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/haikyuu"",""catalog_sources"":""spotify_114k|spotify_600k_historical""}"
